Company Name,Address,PO Box,Phone,Fax,Email,Website,Business Activity
DREAMWEAVERS INTERIOR DESIGN,"Murraqabat Street, Dubai",128798,04 – 2595 900,04 – 2555 921,,http://dreamweaversuae.com/exhibition-stand-design,"Exhibition Stand ,  Fitout , Mobile Shelving System, Racking , Interior Design"
DREAMWEAVERS INTERIOR DESIGN,Murraqabat Street UAE,128798,(+971) 55 6889 507,( +971) 04 2555 921,dreamweaversuae@gmail.com,http://dreamweaversuae.com,"Interior design ,office furniture, exhibition stand"
DREAMWEAVERS INTERIOR DESIGN,Murraqabat Street Dubai,128798,(+971) 55 6889 507,( +971) 04 2555 921,dreamweaversuae@gmail.com,http://dreamweaversuae.com,DREAMWEAVERS INTERIOR DESIGN
DREAMWEAVERS INTERIOR DESIGN,"Murraqabat Street, Dubai",128798,04 – 2595 900,04 – 2555 921,dreamweaversuae@gmail.com,http://,Office Furniture Uae
DROSS & CHAFFER INTERIOR DESIGN (L.L.C),Dubai,36832,04-2638735,04-2638736,,,Interior Decoration
DUNES INTERIOR DESIGNS,Abu Dhabi,59480,02-6673960,02-6673969,,,Decor Design And Execution
DUNES INTERIOR DESIGNS,Abu Dhabi,59480,02-6673960,02-6673969,,,Onshore And Offshore Gas And Oil Installations And Fields Services
DUNIYA INTERIOR DESIGN,Abu Dhabi,25267,02-5554237,02-5553724,,,Decor Design And Execution
DUTCH DIGITAL DESIGN (L.L.C),Dubai,72686,04-3434346,04-3433221,,,Interior Decoration
DXB INTERIOR DESIGN (L.L.C),Dubai,116561,04-3340335,04-3342724,,www.dxbid.com,Interior Decoration
DXB INTERIOR DESIGN (L.L.C),Dubai,116561,04-3340335,04-3342724,,www.dxbid.com,Plumbing & Sanitary Contracting
DXB INTERIOR DESIGN (L.L.C),Dubai,116561,04-3340335,04-3342724,,www.dxbid.com,Painting Contracting
DXB INTERIOR DESIGN (L.L.C),Dubai,116561,04-3340335,04-3342724,,,Floor & Wall Tiling Works
DXB INTERIOR DESIGN (L.L.C),Dubai,116561,04-3340335,04-3342724,,www.dxbid.com,Carpentry & Flooring Contracting
DXB INTERIOR DESIGN (L.L.C),Dubai,116561,04-3340335,04-3342724,,www.dxbid.com,Engraving & Ornamentaion Works
DXB Interior Design LLC,Dubai,116561,04-3340335,04-3342724,,www.dxbid.com,Interior Designers & Consultants
Damooni Interiors,Abu Dhabi- Khalidiya,28274,02-6674947,02-6674957,, ,Interior Designers & Consultants
Dartek Contracting Co. LLC,Dubai Silicon Oasis – Suntech Tower – Office #203,77125 Duba,0097143262639,0097143262639,info@dartek-uae.com,http://www.dartek-uae.com,"MEP Contracting, Interiors Design and Build"
Dartek Contracting Co. LLC,Dubai Silicon Oasis – Suntech Tower – Office #203,77125 Duba,0097143262639,0097143262639,info@dartek-uae.com,http://www.dartek-uae.com,"MEP Contracting, Interiors Design and Build"
David Rae Designs,"David Rae Technical Services LLC P O Box 454276, D",454276,+971 4 399 8142,+971 4 399 8142,davidraeseo@gmail.com,http://davidraedesigns.ae/,Interior Design
Davies Group,Dubai,37104,04-2828528,04-2828328,,,Interior Designers & Consultants
Davies Group Building Maintenance,Dubai,37104,04-2828528,04-2828328,,www.expandesign.net,Interior Designers & Consultants
Dazzles Interiors,Dubai,111357,04-3400585,04-3405508,,www.dazzlesinteriors.com,Interior Designers & Consultants
DeCo. Concept Interior Design,Abu Dhabi,73671,02-6715333,02-6775858,,,Interior Designers & Consultants
Deco Wood Decoration LLC,Jebal Ali Indastry 1,40107,0558405452,0558405452,idecowood@gmail.com,https://www.decowooddecoration.com/,"Interior design, interior decoration, fit out"
Decodi Furniture & Interior Design LLC,Dubai,62153,04-3355732,04-3342732,,,Interior Designers & Consultants
Decodi Furniture & Interior Design LLC,Dubai – Zabeel,62153,04-3355732,04-3342732,, ,Interior Designers & Consultants
Decoline Consn & Interior Design,Dubai,53714,04-2863450,04-2863453,, ,Interior Decorators
Decora LLC Interior Decor,Dubai,89867,04-3366604,04-3366836,,www.decoraonline.net,Interior Designers & Consultants
Decorgraff By MST,"WH: H2-006, Sharjah Airport Free Zone",121710,+971 6 557 99 29,+971 6 557 99 28,interiors@decorgraff.com,http://www.decorgraff.com/,"printable wallpaper, roller blinds, carpets, canvas, designs, furniture upholstery,"
Decorpoint International LLC,Dubai,8986,04-3376798,04-3353922,,,Interior Designers & Consultants
Decorpoint International LLC,Dubai – Karama,8986,04-3376798,04-3353922,,www.decorpoint.com,Interior Designers & Consultants
Decowood Interior Design,Dubai,27601,04-2852582,04-2852508,,,Interior Decorators
Decowood Interior Design,Dubai,27601,04-2852582,04-2852508,, ,Interior Decorators
DeeDecors FZC,Sharjah,53550,+971 (0)50 1753 563,+971 (0)50 1753 563,info@deedecors.com,http://www.deedecors.com/,"interior design companies in dubai, interior design dubai, dubai interior design, interior design co"
Deffufa Decor LLC,Dubai – Ghusais,90118,04-2639554,04-2639556,, ,Interior Designers & Consultants
Deffufa Decor LLC,Dubai,90118,04-2639554,04-2639556,,,Interior Designers & Consultants
Desert Dreams Design Decoration & General Maintena,"National Bank of Fujairah, Salam Street Near LuLu",1000,0553627862,00971026261070,info@desertdreamsdecor.ae,http://www.desertdreamsdecor.ae,Interior Decoration & Maintenance
Desert Dreams Design decoration & Gen. Maintenance,Al-Salam Street,0,0553627862,02-6261070,,http://,one of the Innovative Interior & Exterior Designing company in the United Arab Emirates. Our company
Design 360,Dubai – Sh Zayed Road,89621,04-3438959,04-3439197,, ,Interior Decorators’ Supplies
Design Centre,Dubai,10262,04-3347466,04-3347464,,,Interior Designers & Consultants
Design Club LLC,Dubai – Satwa,50220,04-3981011,04-3980441,, ,Interior Decorators
Design Club LLC,Dubai – Satwa,50220,04-3981011,04-3980441,, ,Interior Designers & Consultants
Design Club LLC,Dubai,50220,04-3981011,04-3980441,,,Interior Decorators
Design Concepts,Dubai – Deira,24465,04-2220432,04-2216854,, ,Interior Designers & Consultants
Design Design LLC,Dubai,34156,04-3976181,04-3978166,,www.design-design.biz,Interior Designers & Consultants
Design Div,Dubai,7581,04-3474747,04-3472744,,www.designdivision.net,Interior Designers & Consultants
Design Div,Dubai – Al Quoz,7581,04-3474747,04-3472744,,www.designdivision.net,Interior Designers & Consultants
Design Div Studio,Dubai,37232,04-3475445,04-3475545,,www.designdivision.net,Interior Designers & Consultants
Design Group International LLC,Dubai,14907,04-2828204,04-2828257,,www.dgi-ae.com,Interior Decorators
Design Group International LLC,Dubai,90845,04-2828204,04-2828257,,www.dgi-uae.com,Interior Designers & Consultants
Design LLC,Dubai,34156,04-3976181,04-3978166,,www.design-design.biz,Interior Designers & Consultants
Design Lab,Dubai,74274,04-3366621,04-3379500,,,Interior Designers & Consultants
Design Lab,Dubai,74274,04-3366621,04-3379500,, ,Interior Designers & Consultants
Design People LLC,Dubai,37630,04-3477731,04-3476634,,www.designpeopledubai.com,Interior Designers & Consultants
Design People LLC,Dubai – Al Quoz,37630,04-3477731,04-3476634,,www.designpeopledubai.com,Interior Decorators
Design People LLC,Dubai,37630,04-3477731,04-3476634,,www.designpeopledubai.com,Interior Decorators
Designers,Abu Dhabi ,4406,02-6457078,02-6457079,, ,Interior Decorators
"Designers, The",Abu Dhabi,4406,02-6457078,02-6457079,,,Interior Designers & Consultants
Details Interior Design,Dubai,35410,04-2894000,04-2894070,, ,Interior Designers & Consultants
Di Leonardo International,Dubai,112660,04-2865900,04-2865535,,www.dileonardo.com,Interior Designers & Consultants
Dileonardo Intl,Dubai,112660,04-2865900,04-2865535,,www.dileonardo.com,Interior Designers & Consultants
Dimensione UAE Trading LLC,Dubai,38224,04-3383334,04-3383364,,,Interior Designers & Consultants
Dimensions Interior Design,Abu Dhabi,32815,02-6449116,02-6449117,,,Interior Decorators
Direction Interior Designers & Decorators,Dubai,111139,04-2958688,04-2958519,,,Interior Decorators’ Supplies
Direction Interior Designers & Decorators,Dubai,111139,04-2958688,04-2958519,,,Interior Designers & Consultants
Direction Interior Designers & Decorators,Dubai,111139,04-2958688,04-2958519,, ,Interior Decorators
Direction Interior Designers & Decorators,Dubai,111139,04-2958688,04-2958519,,,Interior Decorators
Dolson Interiors,Dubai – Karama,9028,04-3356163,04-3356164,,www.dolsoninteriors.com,Interior Designers & Consultants
Domus Architecture & Interior Design,Dubai,72097,04-3314101,04-3318081,,,Interior Designers & Consultants
Dovetail Interiors Design,"Unit # 72 A, Al Jadaf DU Dubai",118950,04 324 2766,04 324 2788,info@dovetaildubai.ae,http://www.dovetaildubai.com,"Interior Fit Out, Interior Design, Turnkey Interior Contractors, Interior Design Company, Joinery co"
Dr Alain Durand – Henriot Architectural & Engineer,Abu Dhabi,47053,02-6711356,02-6711389,,,Interior Designers & Consultants
Dragoni International (BVI) Ltd,Dubai,64213,04-3326110,04-3324210,,,Interior Designers & Consultants
Dragoni International (BVI) Ltd,Dubai – Sh Zayed Road,64213,04-3326110,04-3324210,, ,Interior Designers & Consultants
Dreamweavers Interior Design LLC,Murraqabat Street,128798,(+971) 04 2595 900,( +971) 04 2555 921,,http://dreamweaversuae.com/,"interior designing, decoration, mobile shelving system, office furniture, racking, fitout"
Dreamweaversuae: Give Your Home And Office Space a,"Murraqabat Street, Dubai",128798,04 – 2595 900,04 – 2555 921,,http://dreamweaversuae.com/,We are leading Interior Design Companies in Dubai. Our company offer innovative interior fit out in
Dreamweaversuae: Give Your Home And Office Space a,"Murraqabat Street, Dubai",128798,04 – 2595 900,04 – 2555 921,,http://dreamweaversuae.com/,We are leading Interior Design Companies in Dubai. Our company offer innovative interior fit out in
Dubai House Furniture LLC,Dubai – Karama,29265,04-3960023,04-3960015,, ,Interior Designers & Consultants
Dubai Paradise Furniture,Dubai,19345,04-3434655,04-3211355,,www.dubaiparadise.com,Interior Designers & Consultants
Dubai Paradise Furniture LLC,Dubai,19345,04-3434655,04-3211355,,www.dubaiparadise.com,Interior Designers & Consultants
Dubarch,Dubai,13213,04-3304422,04-3304060,,www.dubarch.com,Interior Designers & Consultants
Dxb Interior Design LLC,Dubai,116561,04-3340335,04-3342724,,www.dxbid.com,Interior Decorators
Dxb Interior Design LLC,Dubai,116561,04-3340335,04-3342724,,www.dxbid.com,Interior Designers & Consultants
E H Creations LLC,Dubai,34081,04-3354332,04-3354339,,www.ehcreations.ae,Interior Designers & Consultants
E H Creations LLC,Dubai – Karama,34081,04-3354332,04-3354339,, ,Interior Designers & Consultants
EBENISTES DESIGN (L.L.C),Dubai,119425,04-3477973,04-3407790,,,Interior Decoration
EDMOND RUZ DESIGN (LL.C),Dubai,26760,04-3356683,04-3356687,,www.erdesign.ae,Interior Decoration
"EIG, Exhibitions Interiors Group","Al Garhoud, Dubai, UAE and Al Quoz, Dubai, UAE",87323,+971 4 2955626,+971 4 2955616,fm@exhibitions-interiors.com,http://www.exhibitions-interiors.com,"Exhibition stand designing and fabrication, Office and Retail Interiors"
ELEGANCE ARCHITECTURE & INTERIOR DESIGN (L.L.C),Dubai,75975,04-3970901,04-3973888,,www.elegance-uae.com,Interior Decoration
ELEMENT HOME INTERIORS,Abu Dhabi,55007,,,,,Decor Design And Execution
ELEMENT UNIT DESIGN L.L.C,AL KHALIDIYA PARK BEHIND NOOR ISLAMIC BANK ABU DHA,25675,+971554690308,+97126667876,sales@eud.ae,http://www.eud.ae,Interior and Office Fit Out and Office Furniture
ELEMENT UNIT DESIGN L.L.C,AL KHALIDIYA PARK BEHIND NOOR ISLAMIC BANK ABU DHA,25675,+971554690308,+97126667876,sales@eud.ae,http://www.eud.ae,Interior and Office Fit Out and Office Furniture
ELEMENTS INTERIOR DESIGN,Abu Dhabi,7969,02-6784343,02-6794343,,,Commercial Agencies
ELEMENTS INTERIOR DESIGN,Abu Dhabi,7969,02-6784343,02-6794343,,,Decoration Works
ELEMENTS INTERIOR DESIGN,Abu Dhabi,7969,02-6784343,02-6794343,,,Importing
EMIRATES FOCUS DESIGN (L.L.C),Dubai,95029,04-2281991,04-2281929,,,Interior Decoration
EMKAY INTERIORS DESIGN (L.L.C),Dubai,73348,04-3408300,04-3408070,,,Decoration Materials & Partitions Trading
EMKAY INTERIORS DESIGN (L.L.C),Dubai,73348,04-3408300,04-3408070,,,Interior Decoration
ENTERYAMARBELLA INTERIOR DESIGN (L.L.C),Dubai,116940,04-2246087,04-2229934,,,Interior Decoration
ENVIRONS INTERIOR DESIGN,Dubai,90621,,,,,Interior Decoration
ESPACIO INTERIOR DESIGN (L.L.C),Dubai,32485,04-3303999,04-3303990,,,Interior Decoration
ESPACIO INTERIOR DESIGN LLC,Dubai,32485,04-3303999,04-3303990,,www.espaciodesign.ae,Contractors – Turnkey Projects
ESPACIO Interior Design LLC,Dubai,32485,04-3303999,04-3303990,,www.espaciodesign.ae,Interior Designers & Consultants
ETCETERA INTERIOR DESIGN,Dubai,62857,04-3351011,04-3353066,,,Carpentry & Flooring Contracting
ETCETERA INTERIOR DESIGN,Dubai,62857,04-3351011,04-3353066,,,Painting Contracting
ETCETERA INTERIOR DESIGN,Dubai,62857,04-3351011,04-3353066,,,Partitions & False Ceilings Contracting
ETCETERA INTERIOR DESIGN,Dubai,62857,04-3351011,04-3353066,,,Insulation Contracting
ETCETERA INTERIOR DESIGN,Dubai,62857,04-3351011,04-3353066,,,Engraving & Ornamentaion Works
ETCETERA INTERIOR DESIGN,Dubai,62857,04-3351011,04-3353066,,,Landscaping Works
EUROPE HOUSE INTERIOR DESIGN WORKS,Dubai,211844,04-3328988,04-3327434,,,Interior Decoration
EVE DESIGNS & INTERIORS (L.L.C),Dubai,65613,04-3422900,04-3421700,,,Interior Decoration
EVE DESIGNS & INTERIORS (L.L.C),Dubai,65613,04-3422900,04-3421700,,,Electrical Fittings & Fixtures Services
EVE DESIGNS & INTERIORS (L.L.C),Dubai,65613,04-3422900,04-3421700,,,Partitions & False Ceilings Contracting
EVOLUTION DESIGN (L.L.C),Dubai,31915,04-3329000,04-3290909,,www.evolution.ae,Interior Decoration
EXCEL INTERIOR DESIGN EXECUTION WORKS (L.L.C),Dubai,7145,04-3961238,04-3594650,,,Carpentry & Flooring Contracting
EXCEL INTERIOR DESIGN EXECUTION WORKS (L.L.C),Dubai,7145,04-3961238,04-3594650,,,Interior Decoration
EXCEL PROJECT SOLUTIONS,"Office 117, Al Reyami Building",124098,+97143180258,+97143583432,sales@excelgroupme.com,http://www.excelgroupme.com/,"CAD Drafting, Paper to CAD conversion, CAD Outsourcing, Office space plans, Interior Design fit out"
East Star Interiors & Gen Maint,Dubai,80517,04-3333799,04-3333838,,,Interior Designers & Consultants
Ebenistes Design LLC,Dubai,119425,04-3477973,04-3407790,,www.ebenitesdesign.com,Interior Decorators
Edge Interior Design LLC,Abu Dhabi- Electra Street,2222,02-6456552,02-6456553,, ,Interior Decorators
Edmond Ruz Design LLC,Dubai,26760,04-3356683,04-3356687,,www.erdesign.ae,Interior Designers & Consultants
Edmond Ruz Design LLC,Dubai,26760,04-3356683,04-3356687,,www.erdesign.ae,Interior Decorators
Eldiar Import & Export,Abu Dhabi,72077,02-6814100,02-6816556,,,Interior Designers & Consultants
Elements Interior Design,Dubai – Bur Dubai,34859,04-3521388,04-3521389,, ,Interior Decorators
Elenora,Dubai,71759,04-3445559,04-3444170,, ,Interior Designers & Consultants
Elite Design & Decor Est.,Abu Dhabi-Mussafah ,33219,02-5548158,02-5548159,, ,Interior Decorators
Ellerbe Becket,Dubai,71725,04-3329500,04-3329950,,www.ellerbebecket.com,Interior Designers & Consultants
Embassy Sign,Sharjah- Immigration Road,4942,06-5726644,06-5721222,, ,Interior Designers & Consultants
Emirates Coast Contracting LLC,"3rd interchange Al Quoz- sheikh Zayed Road, Dubai",80069,971 4 3396564,971 4 3396639,,http://www.emirates-coast.ae,"General Contracting, MEP, Steel Structure, Interior design, green building consultation and implemen"
Emirates Decor LLC,Dubai,34307,04-2674274,04-2673575,,www.emiratesdecor.com,Interior Designers & Consultants
Emirates Dev Industries Co.,Abu Dhabi- Khalidiya,44014,02-6342260,02-6342280,, ,Interior Designers & Consultants
Emirates Dev Industries Co. Ltd,Abu Dhabi,44014,02-6342260,02-6342280,,,Interior Designers & Consultants
Emirates Focus Design LLC,Dubai,95029,04-2659406,04-2659460,, ,Interior Decorators
Emirates Furniture Factory & Decoration,Abu Dhabi-Mussafah ,9692,02-5510600,02-5510860,, ,Interior Designers & Consultants
Enviro Designs,Sharjah- Buhaira Corniche,80453,06-5567575,06-5567677,,www.envirouae.com,Interior Decorators
Environs Interior Design,Dubai,90621,04-2664348,04-2664349,,,Interior Designers & Consultants
Environs Interior Design,Dubai,90621,04-2664348,04-2664349,, ,Interior Designers & Consultants
Esadora Design,Dubai,14884,04-2944466,04-2944455,, ,Interior Designers & Consultants
Espacio Interior Design LLC,Dubai,32485,04-3303999,04-3303990,,www.espaciodesign.ae,Interior Decorators
Espacio Interior Design LLC,Dubai,32485,04-3303999,04-3303990,,www.espaciodesign.ae,Interior Designers & Consultants
Etage Furniture LLC,Ajman,210,06-7425551,06-7425115,,www.etage-uae.com,Interior Designers & Consultants
Etcetera Interior Design,Dubai,62857,04-3351011,04-3353066,,,Interior Designers & Consultants
Etcetera Interior Design,Dubai,62857,04-3351011,04-3353066,,,Interior Decorators
Etcetera Interior Design,Dubai,62857,04-3351011,04-3353066,, ,Interior Designers & Consultants
Evainteriors,The Fairmont Dubai,Office 170,0567899474,043116632,bernd@evainteriors.ae,http://www.evainteriors.ae,Interior design and fit out solutions
Evainteriors,The Fairmont Dubai,Office 170,0567899474,043116632,bernd@evainteriors.ae,http://www.evainteriors.ae,Interior design and fit out solutions
Evolution Design LLC,Dubai – Sh Zayed Road,31915,04-3329000,04-3290909,,www.evolution.ae,Interior Decorators
Evolution Design LLC,Dubai,31915,04-3329000,04-3290909,,www.evolution.ae,Interior Designers & Consultants
Evolution Design LLC,Dubai – Sh Zayed Road,31915,04-3329000,04-3290909,,www.evolution.ae,Interior Designers & Consultants
Evolution Furniture Ind,Dubai,29409,04-2674171,,,,Interior Designers & Consultants
Exotica Emirates LLC,Abu Dhabi ,54775,02-6444416,02-6447749,,www.exoticaemirates.com,Interior Designers & Consultants
FADHIL INTERIOR DESIGN,Dubai,114194,04-2662162,04-2662162,,,Interior Decoration
FEDDE INTERIORS,"Dubai, Businessbay, Burlington tower",172083,9714-2771189,9714-4329069,Info@feddeinteriors.com,http://www.feddeinteriors.com,Interior Design
FINE FURNITURE CO. LLC – INTERIOR DESIGN DIVISION,Dubai – Karama,5741,04-3366060,04-3353570,,www.bedguys.com,Beds – Manufacturers & Wholesalers
FINE FURNITURE CO. LLC – INTERIOR DESIGN DIVISION,Dubai – Karama,5741,04-3366060,04-3353570,,www.bedguys.com,Bedding & Mattress Suppliers
FINE LINE INTERIORS – L L C,Abu Dhabi,52814,02-6220080,02-6226211,,,Decor Design And Execution
FINE LINES INTERIOR DESIGN,Dubai,62959,04-3376060,04-3376070,,,Metal Blinds Trading
FINE LINES INTERIOR DESIGN,Dubai,62959,04-3376060,04-3376070,,,Carpentry & Flooring Contracting
FINE LINES INTERIOR DESIGN,Dubai,62959,04-3376060,04-3376070,,,Office Furniture Trading
FINE LINES INTERIOR DESIGN,Dubai,62959,04-3376060,04-3376070,,,Domestic Kitchen Trading
FINE LINES INTERIOR DESIGN,Dubai,62959,04-3376060,04-3376070,,,Home Furniture Trading
FINE LINES INTERIOR DESIGN,Dubai,62959,04-3376060,04-3376070,,,Curtains & Upholstery Fabrics Trading
FINE LINES INTERIOR DESIGN,Dubai,62959,04-3376060,04-3376070,,,Decoration Materials & Partitions Trading
FIRSTPOINT INTERIOR DESIGN (L.L.C),Dubai,33641,04-3972898,04-3972895,,,Carpentry & Flooring Contracting
FIRSTPOINT INTERIOR DESIGN (L.L.C),Dubai,33641,04-3972898,04-3972895,,,Painting Contracting
FIRSTPOINT INTERIOR DESIGN (L.L.C),Dubai,33641,04-3972898,04-3972895,,,Interior Decoration
FLEX INTERIOR DESIGNER – LLC,Al Ain,,,,,,Decor Design And Execution
FORMA INTERIOR DESIGN,Dubai,6629,04-3969806,04-2625244,,,Electrical Fittings & Fixtures Services
FORMA INTERIOR DESIGN,Dubai,6629,04-3969806,04-2625244,,,Electrical Fitting Contracting
FORMA INTERIOR DESIGN,Dubai,6629,04-3969806,04-2625244,,,Interior Decoration
FOUNTAIN INTERIOR DESIGN SERVICES,Dubai,10237,04-2233198,04-2239766,,,Engraving & Ornamentaion Works
FOUNTAIN INTERIOR DESIGN SERVICES,Dubai,10237,04-2233198,04-2239766,,,Partitions & False Ceilings Contracting
FOUNTAIN INTERIOR DESIGN SERVICES,Dubai,10237,04-2233198,04-2239766,,,Carpentry & Flooring Contracting
FOURTH DIMENSION INTERIOR DESIGN,Dubai,19954,04-3474477,04-3475551,,,Interior Decoration
FREE STYLE DESIGN,Dubai,99688,04-3936698,04-3936689,,,Interior Decoration
FURNICON ROYAL INTERIORS,Abu Dhabi,4118,02-6346999,02-6321209,,www.furnicon.ae,Decor Design And Execution
FUSION INTERIOR DESIGN (L.L.C),Dubai,286,04-3471555,04-3474820,,,Interior Decoration
Fadhil Interior Design,Dubai,114194,04-2630401,04-2630402,, ,Interior Decorators
Family Home Maker,"1206, Boulevard Tower 1, Business Bay, Dubai UAE",33549,+971 4 563 2987,+973 4 255 1048,familyhomemaker@outlook.com,http://,interior design company
Fas Decor,Sharjah,38796,06-5394924,06-5394925,,www.fasdecor.com,Interior Designers & Consultants
Federal Building Interiors Co.,Dubai,812,04-3475119,04-3471432,,www.fbidubai.com,Interior Designers & Consultants
Four Seasons Ramesh Gallery,"Ground Floor, Zomorrodah Building, Zabeel Road, Al",504411,+971 4 3349090,+971 4 3346060,info@fsrg.com,http://www.fsrg.com,"dubai accessories furniture, interior design, artwork, home furniture, vase, artwork gallery, histor"
Frayland Dubai,Dubai – Al Ittihad Road,13750,04-2954455,04-2954747,,www.frayland.com,Interior Designers & Consultants
Furnicon Royal Interiors,Abu Dhabi,51528,02-6352570,02-6341115,,www.furnicon.ae,Interior Designers & Consultants
Furnlink Interior Designs,Al Ain ,1154,03-7665222,03-7669996,,www.furlink.disingn,Interior Decorators
Fusion Interior Design,Dubai,286,04-3317177,04-3317178,,www.fusionuae.com,Interior Designers & Consultants
G + H Innenausbau GmbH,Dubai,82695,04-2676637,04-2676638,,www.guh-uae.com,Interior Designers & Consultants
GATES DESIGN (L.L.C),Dubai,43767,,,,,Interior Decoration
GECECO. – ARCH & INTERIOR DESIGN CONSULTING ENGG,Sharjah,1882,06-5685755,06-5684141,,,Engineers – Architectural
GECECO. – ARCH & INTERIOR DESIGN CONSULTING ENGG,Dubai – Deira,21377,04-2623939,04-2682377,, ,Engineers – Consulting
GEMACO. INTERIORS,Dubai,60194,04-3389500,04-3389995,,www.gemaco-uae.com,PARTITIONS & CEILINGS Design & building of interior fitouts.
GERMAN DESIGNERS (L.LC),Dubai,48976,04-3241737,04-3241883,,,Interior Decoration
GOETTLING INTERIORS,http://goettling.me/,3402,44270568,44270568,goettling.me@gmail.com,http://goettling.me/,"GOETTLING,Kitchen Cabinets Design,Modern Kitchen Planning"
GOLD MASTER DESIGN (L.L.C),Dubai,1522,04-2952959,04-2951519,,,Interior Decoration
GOLDEN BELL INTERIOR DESIGN (L.L.C),Dubai,65594,04-3322297,04-3322345,,,Interior Decoration
GOLDEN FALCON INTERIOR DESIGN & DECOR,Dubai,30284,04-3476667,04-3477957,,,Interior Decoration
GOLDENBELL INTERIOR DESIGN (INT’L) LLC,Dubai,65594,04-3322297,04-3322345,,,Architects
GOLDENBELL INTERIOR DESIGN (INT’L) LLC,Dubai,65594,04-3322297,04-3322345,,,Exhibition Stands – Designers & Manufacturers
GOLDENBELL INTERIOR DESIGN (INT’L) LLC,Dubai,65594,04-3322297,04-3322345,,,Furniture – Designers & Custom Builders
GOLDENBELL INTERIOR DESIGN (INT’L) LLC,Dubai,65594,04-3322297,04-3322345,,,Contractors – Turnkey Projects
GOLDENBELL INTERIOR DESIGN (INT’L) LLC,Dubai,65594,04-3322297,04-3322345,,,Furnishers – Contract
GRANITE DESIGN (L.L.C),Dubai,36740,04-2956997,04-2956987,,www.gddubai.com,Interior Decoration
GREENLINE YACHT INTERIORS FZCO,Dubai-Jebel Ali,,,,,,Manufacturing of Custom Design Furniture and Fit-outs for Luxury Yacht and Marine Vessels.
GREENLINE YACHT INTERIORS FZCO,Dubai-Jebel Ali,,,,,,Manufacturing of Custom Design Furniture and Fit-outs for Luxury Yacht and Marine Vessels.
GREG INTERIORS LLC,Abu Dhabi,32203,,,,,Decor Design And Execution
GULF BRIDGE INTERIOR DESIGN (L.L.C),Dubai,43786,04-2844959,04-2858638,,www.gulf-bridge.com,Insulation Contracting
GULF BRIDGE INTERIOR DESIGN (L.L.C),Dubai,43786,04-2844959,04-2858638,,www.gulf-bridge.com,Engraving & Ornamentaion Works
GULF BRIDGE INTERIOR DESIGN (L.L.C),Dubai,43786,04-2844959,04-2858638,,www.gulf-bridge.com,Partitions & False Ceilings Contracting
GULF BRIDGE INTERIOR DESIGN (L.L.C),Dubai,43786,04-2844959,04-2858638,,,Floor & Wall Tiling Works
GULF BRIDGE INTERIOR DESIGN (L.L.C),Dubai,43786,04-2844959,04-2858638,,www.gulf-bridge.com,Interior Decoration
GULF BRIDGE INTERIOR DESIGN (L.L.C),Dubai,43786,04-2844959,04-2858638,,www.gulf-bridge.com,Carpentry & Flooring Contracting
GULF BRIDGE INTERIOR DESIGN (LLC),Dubai,43786,04-2844959,04-2858638,,,Furniture – Designers & Custom Builders
GULF INTERIOR DESIGN,Abu Dhabi,28787,02-6669222,02-6652525,,,Decor Design And Execution
Genuine Dekor Co. LLC (GEMACO),Dubai,60194,04-3389500,04-3389995,,www.gemaco-uae.com,Interior Designers & Consultants
Global Display System,Dubai,73369,04-3212259,04-3212249,,www.globaldisplaysystem.ae,Interior Designers & Consultants
Gold Master Design,Dubai,113024,04-2952959,04-2951519,, ,Interior Designers & Consultants
Gold Master Design,Dubai,113024,04-2952959,04-2951519,, ,Interior Decorators
Golden Bell Interior Design International,Dubai,65594,04-3322297,04-3322345,, ,Interior Designers & Consultants
Golden Dome Interiors Interior Designers & Contrac,Dubai – Ghusais,55467,04-2610613,04-2610624,, ,Interior Decorators
Golden Fence Decor,"Sharjah, king faisal steet",20278,00971558487331,065731001,info@goldenfencedecor.com,http://www.goldenfencedecor.com,"interior design,furniture sales,web design, graphic design"
Golden Fingers Decor & Interior Design,Dubai – Ghusais,15801,04-2679294,04-2679295,, ,Interior Decorators
Golden House Interiors,Dubai – Ghusais,62946,04-2674233,04-2673138,,www.gohocarp.com,Interior Designers & Consultants
Goldenbell Interior Design (Int’l) LLC,Dubai,65594,04-3322297,04-3322345,,,Interior Decorators
Grand Signature Fitouts and Interior Designers,"suite 1908, Jumeirah Business Center 5 Jumeirah La",1908,+971 55 234 5123,+971 4 450 3679,,http://www.fitouts.com/,"architects in dubai, contractors in dubai, dubai contractors, dubai interior decorators, fitout, fit"
Green Oasis Interiors,Dubai,81926,04-2680007,04-2687007,,www.greenoasis.net,Interior Designers & Consultants
Greenline Co.,Dubai,9227,04-3313563,04-3310575,,www.greenline-interiors.com,Interior Designers & Consultants
Greenline Interiors,Sharjah,5835,06-5431155,06-5432650,,www.greenline-interiors.com,Interior Designers & Consultants
Gulf Bridge Interior Design (LLC),Dubai,43786,04-2844959,04-2858638,,www.gulf-bridge.com,Interior Decorators
Gulf Bridge Interior Design (LLC),Dubai,43786,04-2844959,04-2858638,,www.gulf-bridge.com,Interior Designers & Consultants
Gulf Bridge Interior Design LLC,Dubai,43786,04-2844959,04-2858638,, ,Interior Decorators
Gulf Business Foundation – Cinmar Design,Dubai,408,04-3406161,04-3400868,,,Interior Designers & Consultants
